R,V,E
498,156270500188002,437166969.6875
499,157844016401762,249437762.125
500,159430286776082,163049465.375
501,161029583360162,373906231.0
502,162641428931602,328335726.0
503,164266326303042,452395163.875
504,165904036458322,430006855.28125
505,167554614538482,238943598.90625
506,169218544183682,285169992.375
507,170895591253682,256562302.9375
508,172585897403522,216483538.59375
509,174289788979682,412678998.5625
510,176006628441122,128696704.46875
511,177737506367362,375894870.9375
512,179481924137202,576120016.625
513,181239428271762,196049394.78125
514,183011410833122,547589024.5
515,184796464812162,143260921.15625
516,186595937822722,249896647.46875
517,188409477153762,433688864.28125
518,190236675572242,205993601.5
519,192078619034242,571040768.71875
520,193934327394322,466642906.25
521,195804248626002,258415055.90625
522,197688929866802,410819191.8125
523,199587765483202,235228571.25
524,201501260562962,153419445.5625
525,203429703358482,370013810.9375
526,205372647390642,354582639.25
527,207330651480962,581677428.9375
528,209303253248162,504326155.75
529,211290598378002,183302503.71875
530,213293586296002,432797975.90625
531,215311229781442,180035285.25
532,217344524328482,334628865.46875
533,219393120873922,461312021.84375
534,221456734786002,188925122.0625
535,223536482559682,547110267.0625
536,225631478897042,563391081.90625
537,227741953076882,379541706.59375
538,229868466113202,468744666.90625
539,232010489551282,214386345.1875
540,234168751957362,256546051.3125
541,236343277121362,530198133.40625
542,238533482258082,363412568.8125
543,240740242505762,541852914.71875
544,242963156600322,574449939.25
545,245202018856162,165381812.15625
546,247458052639682,447547015.65625
547,249730417374402,489568855.375
548,252019111948082,199201971.0625
549,254325079298722,427917727.53125
550,256647431798402,196287445.34375
551,258987391085202,633813711.96875
552,261344014629362,705495932.28125
553,263717324299842,340396279.5
554,266108418298562,543573326.15625
555,268516282099682,207020714.8125
556,270941976740162,297957108.9375
557,273385304125842,524131663.71875
558,275845824661122,351453096.96875
559,278324412288082,559028199.90625
560,280820677124002,661798748.0
561,283334347819522,292899051.8125
562,285866699719922,631816627.9375
563,288416348760242,198286709.5625
564,290984694329922,295156277.75
565,293571664185522,753296171.8125
566,296176052723282,269873040.5625
567,298799799705362,687074972.75
568,301441559256722,561107768.1875
569,304101721883762,184212968.625
570,306781304962962,475155888.375
571,309479276444882,302929005.25
572,312196541316962,473214151.375
573,314932666414962,453193344.1875
574,317687736539122,227664337.125
575,320462790095602,734681450.3125
576,323256530085602,576544081.8125
577,326069770575842,466266578.125
578,328902774978002,565857065.1875
579,331755128663842,358931959.0625
580,334627464919202,376669356.9375
581,337519747249922,480114348.0625
582,340431878092322,468888884.0625
583,343364220353442,602731410.625
584,346316644296962,648382177.4375
585,349288849144642,201184069.6875
586,352282525642402,847648078.6875
587,355295631447362,440839732.625
588,358329489635522,198886167.5
589,361384815412722,731686477.875
590,364459931252002,256048467.8125
591,367556907486722,736281161.8125
592,370674404835922,726719555.4375
593,373812768394162,465713846.125
594,376972558867442,406864744.375
595,380153720276322,386725984.125
596,383356335878002,380725794.0
597,386580786722082,661722047.875
598,389826354188002,402539095.875
599,393094278348642,734330755.125
600,396383843810962,832420340.6875
601,399694812232642,348816696.125
602,403028678637442,668528944.9375
603,406384175522642,413673320.625
604,409762251122722,421736238.125
605,413162930842482,607006804.375
606,416585636264802,279583969.375
607,420031895190722,855415996.6875
608,423500259947762,774608174.5625
609,426991041878162,235910446.6875
610,430505984151522,869529442.9375
611,434042825219282,300582350.5
612,437603623743202,474024784.25
613,441187914822722,810877538.0625
614,444794831967282,330198295.4375
615,448426270759602,812744300.25
616,452080819495362,731611427.75
617,455759099609522,592659895.25
618,459461548928642,717765973.25
619,463187563111522,386262015.9375
620,466937972608802,311895452.1875
621,470713142674962,742840176.5
622,474511967260002,455587619.5625
623,478335951111442,837048139.375
624,482184351784722,1026560812.0625
625,486056603762562,340012182.375
626,489954758597282,709977975.0
627,493877303148642,503960325.125
628,497825076972562,441775889.25
629,501798278828562,602062676.1875
630,505796327837202,283436877.875
631,509820672369842,813382020.125
632,513870171300962,929500673.4375
633,517944804140162,489645844.0625
634,522046011518562,812406764.5625
635,526172551720002,533639484.75
636,530325177779922,283565142.75
637,534504716042402,765326395.5
638,538709764123762,452950409.75
639,542941993937442,894373132.875
640,547200399658482,959403163.875
641,551484905349602,447347223.9375
642,555797317107682,1039156027.25
643,560135420146002,394505912.375
644,564501228446242,401450232.625
645,568894568949442,760609706.625
646,573314558460482,462076290.0
647,577762800299282,982063765.375
648,582238051686162,950292494.0
649,586740544316322,470563285.75
650,591271401367602,537764550.375
651,595830023242322,423613528.875
652,600417205422882,794511283.125
653,605032228342322,801412648.0
654,609675177866562,400307861.125
655,614347535012962,941940514.625
656,619047985930402,981787025.25
657,623776695066082,553222825.625
658,628535041483042,903839275.25
659,633321671551842,548134730.375
660,638137643693682,412257056.25
661,642983721984802,1127607416.875
662,647857852440162,507123346.25
663,652762656136562,1038401259.375
664,657696493963282,948446482.625
665,662659463092722,200143285.25
666,667653850209762,945483629.25
667,672677240250802,634305601.25
668,677730988661922,486550963.0
669,682815492531122,763396781.25
670,687930065245842,641912340.75
671,693075687703442,966269012.5
672,698251944212482,1183640926.75
673,703458363520642,685232282.625
674,708696382491842,769953859.0
675,713965149164482,447480646.375
676,719265459605522,375105316.25
677,724598095360802,1195187933.375
678,729960792068322,503768625.125
679,735356471158802,1082267533.625
680,740783492842482,1150471006.125
681,746241766809602,477231465.875
