R,V,E
399,115559574688,421383.01902770996
400,116722023616,20060.026885986328
401,117893506720,-101246.35087585449
402,119074695760,685398.4209899902
403,120262809904,-444772.54916381836
404,121461515184,130228.42012023926
405,122668971808,526455.5834503174
406,123885077632,597501.7684936523
407,125109543472,9810.376159667969
408,126343270400,-380028.6196594238
409,127586785584,-89438.67182922363
410,128839614656,362511.33978271484
411,130101005936,179331.10856628418
412,131371547472,-95851.0990600586
413,132651643232,-104096.44355773926
414,133941652208,468448.4878234863
415,135239803648,-194216.3191833496
416,136548445824,210823.69441223145
417,137865907744,-32890.33935546875
418,139192877024,-283318.71533203125
419,140529687952,-251859.15521240234
420,141876271680,-53154.807525634766
421,143231831600,-529718.247833252
422,144597845552,-249723.47842407227
423,145973687504,114674.0715637207
424,147359112288,272073.5458679199
425,148753884352,-59419.33834838867
426,150159772368,842415.7090148926
427,151574078592,233273.5512084961
428,152998758096,21555.624633789062
429,154434181104,530705.9388427734
430,155879248016,614235.076385498
431,157333607344,-126343.8069152832
432,158798786512,-210714.98217773438
433,160274091280,-380336.14739990234
434,161760585744,381561.57247924805
435,163257240656,998293.6257629395
436,164762820400,186698.0337524414
437,166278845824,-580032.6090087891
438,167806966128,299536.86505126953
439,169344148128,-255651.8032836914
440,170892656704,-28702.300231933594
441,172452179616,620052.2611999512
442,174021258944,184489.34115600586
443,175600946496,-331895.0272216797
444,177192530784,310989.7624511719
445,178793496160,-451035.11041259766
446,180406827888,318654.106842041
447,182029881712,-72948.26016235352
448,183664345968,13634.687469482422
449,185309450048,-241173.57836914062
450,186966307184,226780.9874267578
451,188633415696,-133368.99700927734
452,190311923968,-222536.34030151367
453,192002517856,595728.7219238281
454,193703460176,534726.5272521973
455,195415420288,214191.98638916016
456,197139225056,411254.58309936523
457,198873518640,-279769.6257019043
458,200620470400,260525.98999023438
459,202378388608,290350.63342285156
460,204147422080,-91651.91918945312
461,205928301408,-205171.31842041016
462,207721270976,143785.3582763672
463,209524759392,-666674.3934631348
464,211341511712,57895.4951171875
465,213169673872,412711.66595458984
466,215009349760,450833.333984375
467,216860328800,-89253.7126159668
468,218723661008,-208581.11254882812
469,220599156464,-148225.93145751953
470,222487313136,538513.338104248
471,224386669472,338708.7768249512
