R,V,E
610,444137263656224,1317182309.25
611,447789382641786,1022077311.5625
612,451466540677066,1776535220.1875
613,455166088221388,813034592.8125
614,458891555215998,1543149720.375
615,462639588949608,495415540.4375
616,466414419043968,1780312577.625
617,470211513476858,746289305.3125
618,474034817234788,1218414213.8125
619,477882190202358,936264539.9375
620,481755841092030,1987855407.8125
621,485652178866950,661062019.625
622,489575712168752,1343046828.875
623,493523378091882,849033233.3125
624,497498109479322,1989600667.6875
625,501496215056842,950818225.0
626,505521611337292,1526148317.25
627,509571199835262,493660704.6875
628,513649130825262,1879790044.375
629,517750933542824,1089536361.625
630,521879843638144,1233918060.6875
631,526034837223106,1164018317.5625
632,530217146416466,1986529633.625
633,534423659365828,463775179.625
634,538659582036638,1675497159.6875
635,542920387216208,967860203.5
636,547209912509728,2051446747.625
637,551524119020208,759936346.625
638,555867489115730,1447872293.5625
639,560236943943250,908174791.4375
640,564635767807522,2296519246.0
641,569059587176532,1110341068.5
642,573512563190814,1381344361.0
643,577992474900224,758738059.25
644,582502238536024,2028507385.375
645,587037363726194,569628529.375
646,591603310410684,1710983269.875
647,596195753215934,995732862.5
648,600818530827734,2130690270.0
649,605467975070736,1315399042.25
650,610147168199056,1499423287.625
651,614854381519098,820969866.25
652,619592350162498,1881660702.0
653,624357506153868,979599896.625
654,629153674901358,1805863660.375
655,633977458359888,827662912.0
656,638833342938240,2396249741.625
657,643715578957440,626375159.75
658,648630369661090,1585298799.5
659,653573792001660,1213574577.375
660,658548792187252,2320596825.5
661,663551778773062,1177691123.75
662,668586713226432,1608678719.875
663,673650777782362,657731410.5
664,678748154098482,2368025883.0
665,683873174010692,932498722.75
666,689031288558852,1662871474.25
667,694219307883414,1229546640.375
668,699439835528934,2095910564.0
669,704689718101896,967990621.0
670,709972975793746,1724977623.25
671,715286597170196,1214014491.5
672,720633597607396,2308631796.125
673,726010225420526,1114875718.75
674,731421031395848,2040839472.375
675,736861711346408,639218373.125
676,742338127954160,2629151332.375
677,747843570291370,1155741631.0
678,753383563773052,1600008722.75
679,758955392259542,1100990178.75
680,764562023879622,2481564179.25
681,770198961065672,1098484035.25
682,775871187111322,1788935209.75
683,781575441539444,1145902677.375
684,787315356703964,2654772107.375
685,793085892761974,1128301342.625
686,798892605757054,1974703092.125
687,804731141339496,691364522.875
688,810606743371896,2373452221.5
689,816513863431306,1323413715.125
690,822456931228996,1821396602.0
691,828433758391518,1529028984.75
692,834446552485958,2503444091.5
693,840491303653718,583913426.625
694,846574470130000,2077365623.5
695,852690439292850,1219434858.125
696,858844325642162,2972439221.5
697,865029927605852,982186262.625
698,871254023286222,1873718722.125
699,877512144467552,1025321492.375
700,883808841505584,2833410470.875
701,890138457955194,1487159601.375
702,896505989772474,1827702324.5
703,902909049516796,1312333011.0
704,909350655999356,2804154874.625
705,915825449109646,786905813.0
706,922340459905776,2135048098.625
707,928889946974426,950127700.125
708,935479353756266,2518099071.0
709,942103537256508,1538035070.375
710,948766949832558,2303913984.375
711,955466056290958,1121715836.875
712,962205747367190,2722901562.625
713,968980287361760,1212048459.875
